Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Rodri,es ESP,MF,27-316,28.6,140.0,4.9,113.0,2.0,8.0,5.0,6.0,6.0,21.0,0.74,15.0,0.0,3.0,1.0,1.0,1.0,Matches
Ederson,br BRA,GK,30-260,28.2,6.0,0.21,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Phil Foden,eng ENG,"FW,MF",23-341,28.0,125.0,4.47,98.0,8.0,7.0,4.0,7.0,1.0,18.0,0.64,14.0,1.0,0.0,0.0,3.0,0.0,Matches
Kyle Walker,eng ENG,DF,33-341,27.0,60.0,2.22,55.0,1.0,1.0,1.0,2.0,0.0,10.0,0.37,8.0,0.0,1.0,1.0,0.0,0.0,Matches
Rben Dias,pt POR,DF,26-355,25.4,32.0,1.26,25.0,0.0,0.0,5.0,0.0,2.0,4.0,0.16,2.0,0.0,0.0,1.0,0.0,1.0,Matches
Bernardo Silva,pt POR,"MF,FW",29-267,24.8,113.0,4.56,102.0,3.0,4.0,1.0,3.0,0.0,7.0,0.28,6.0,0.0,1.0,0.0,0.0,0.0,Matches
Erling Haaland,no NOR,FW,23-287,24.6,53.0,2.16,36.0,0.0,3.0,8.0,5.0,1.0,9.0,0.37,4.0,0.0,1.0,3.0,1.0,0.0,Matches
Manuel Akanji,ch SUI,"DF,MF",28-289,24.1,50.0,2.07,41.0,1.0,0.0,3.0,2.0,3.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Joko Gvardiol,hr CRO,DF,22-101,21.9,44.0,2.01,33.0,1.0,5.0,2.0,1.0,2.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Ak,nl NED,DF,29-075,21.5,35.0,1.63,27.0,0.0,2.0,4.0,1.0,1.0,6.0,0.28,3.0,0.0,1.0,2.0,0.0,0.0,Matches
Jeremy Doku,be BEL,"FW,MF",21-342,16.2,99.0,6.12,75.0,1.0,14.0,6.0,3.0,0.0,13.0,0.8,9.0,0.0,2.0,1.0,1.0,0.0,Matches
Mateo Kovai,hr CRO,MF,29-363,14.3,48.0,3.35,41.0,0.0,2.0,4.0,1.0,0.0,5.0,0.35,4.0,0.0,0.0,1.0,0.0,0.0,Matches
John Stones,eng ENG,"DF,MF",29-341,11.6,23.0,1.99,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin De Bruyne,be BEL,MF,32-310,10.1,75.0,7.4,53.0,14.0,2.0,4.0,2.0,0.0,11.0,1.09,7.0,3.0,0.0,0.0,1.0,0.0,Matches
Jack Grealish,eng ENG,"FW,MF",28-236,11.1,54.0,4.87,46.0,0.0,1.0,2.0,5.0,0.0,4.0,0.36,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Rico Lewis,eng ENG,"DF,MF",19-164,8.9,15.0,1.69,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Nunes,pt POR,MF,25-250,7.2,20.0,2.77,16.0,0.0,0.0,1.0,3.0,0.0,3.0,0.42,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefan Ortega,de GER,GK,31-179,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oscar Bobb,no NOR,"FW,MF",20-296,3.3,21.0,6.45,15.0,0.0,4.0,1.0,1.0,0.0,5.0,1.54,2.0,0.0,2.0,0.0,1.0,0.0,Matches
Kalvin Phillips,eng ENG,MF,28-153,1.0,1.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Gmez,es ESP,"FW,MF",23-242,0.6,2.0,3.33,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.33,1.0,0.0,1.0,0.0,0.0,0.0,Matches
